run,pi_med,PSSA_c_all,PSSA_sig,PSSA_n,PSSA_c_par,PSSA_n_par,PSSA_c_ded,PSSA_n_ded,PSSA_mult,PSSA_frac_found,PSSB_c_all,PSSB_sig,PSSB_n,PSSB_c_par,PSSB_n_par,PSSB_c_ded,PSSB_n_ded,PSSB_mult,PSSB_frac_found,PSSC_c_all,PSSC_sig,PSSC_n,PSSC_c_par,PSSC_n_par,PSSC_c_ded,PSSC_n_ded,PSSC_mult,PSSC_frac_found,PSSD_c_all,PSSD_sig,PSSD_n,PSSD_c_par,PSSD_n_par,PSSD_c_ded,PSSD_n_ded,PSSD_mult,PSSD_frac_found,LIQA_c_all,LIQA_sig,LIQA_n,LIQA_c_par,LIQA_n_par,LIQA_c_ded,LIQA_n_ded,LIQA_mult,LIQA_frac_found,LIQB_c_all,LIQB_sig,LIQB_n,LIQB_c_par,LIQB_n_par,LIQB_c_ded,LIQB_n_ded,LIQB_mult,LIQB_frac_found,LIQC_c_all,LIQC_sig,LIQC_n,LIQC_c_par,LIQC_n_par,LIQC_c_ded,LIQC_n_ded,LIQC_mult,LIQC_frac_found,LIQD_c_all,LIQD_sig,LIQD_n,LIQD_c_par,LIQD_n_par,LIQD_c_ded,LIQD_n_ded,LIQD_mult,LIQD_frac_found
224407,8.46e+12,-1699.73,6.16,92,,8,-1699.85,84,1.03,0.460,-1660.90,21.30,137,-1649.54,49,-1667.23,88,1.58,0.606,-1668.65,33.11,195,-1648.49,64,-1678.50,131,1.65,0.701,-1687.61,4.99,206,-1660.86,42,-1694.46,164,1.25,0.589,-1708.47,5.90,120,-1706.05,64,-1711.23,56,2.94,0.755,,,,,,,,,,,,,,,,,,,-1707.41,6.55,111,-1703.15,50,-1710.90,61,2.10,0.841
224409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224455,8.48e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224458,8.47e+12,-1671.61,45.74,142,-1647.08,49,-1684.54,93,1.30,0.534,-1700.49,3.22,153,-1678.40,25,-1704.80,128,1.40,0.550,-1695.27,5.70,102,,17,-1701.56,85,1.48,0.560,-1698.36,4.18,153,,10,-1701.02,143,1.33,0.445,-1708.28,4.20,242,-1705.17,84,-1709.93,158,2.05,0.949,-1710.86,3.58,211,-1708.56,67,-1711.93,144,1.69,0.981,-1695.98,4.19,818,-1692.46,268,-1697.70,550,1.27,0.976,-1701.63,4.36,335,-1698.60,113,-1703.17,222,1.23,0.974
224460,8.39e+12,-1671.08,51.88,153,-1655.35,84,-1690.23,69,1.32,0.503,-1699.25,3.53,147,-1685.69,51,-1706.45,96,1.34,0.465,-1688.89,10.65,113,-1664.99,39,-1701.49,74,1.49,0.538,-1696.83,4.90,137,,20,-1700.83,117,1.23,0.346,-1707.60,3.94,287,-1706.11,161,-1709.50,126,2.18,0.970,-1709.53,3.71,244,-1707.71,137,-1711.86,107,1.82,0.980,-1695.05,4.47,937,-1693.04,525,-1697.61,412,1.38,0.967,-1700.49,4.41,393,-1699.01,221,-1702.39,172,1.24,0.973
224463,8.43e+12,-1692.92,3.24,108,,11,-1696.49,97,1.27,0.432,-1703.97,2.82,159,,16,-1707.02,143,1.35,0.607,-1696.69,6.37,106,,13,-1700.72,93,1.57,0.609,-1698.90,4.94,184,,9,-1700.26,175,1.25,0.568,-1709.05,3.65,230,-1705.96,57,-1710.07,173,2.00,0.966,-1711.12,3.49,194,-1708.35,49,-1712.06,145,1.55,0.956,-1696.58,3.90,614,-1692.39,147,-1697.89,467,1.26,0.982,-1701.95,3.81,320,-1699.17,80,-1702.88,240,1.17,0.982
224464,8.43e+12,-1695.43,3.48,112,,5,-1696.82,107,1.35,0.467,-1706.39,2.60,156,,7,-1707.39,149,1.37,0.624,-1699.32,5.77,101,,9,-1702.37,92,1.53,0.608,-1701.70,4.11,180,,7,-1702.71,173,1.25,0.581,-1709.67,3.97,217,-1706.59,39,-1710.35,178,1.94,0.952,-1711.51,3.90,188,-1708.34,33,-1712.18,155,1.54,0.969,-1696.71,3.67,718,-1692.93,144,-1697.66,574,1.25,0.973,-1702.14,4.17,299,-1698.39,50,-1702.90,249,1.18,0.968
224466,8.42e+12,-1645.90,6.21,40,,18,-1643.19,22,1.19,0.308,-1652.83,16.32,40,,12,-1651.87,28,1.35,0.312,,,,,,,,,,-1640.31,10.75,36,,10,-1641.53,26,1.18,0.277,-1708.89,4.11,238,-1706.12,67,-1709.98,171,2.02,0.983,-1710.84,3.29,198,-1707.80,54,-1711.99,144,1.48,0.966,-1696.69,3.82,746,-1692.88,204,-1698.13,542,1.28,0.963,-1702.19,4.42,317,-1699.12,87,-1703.35,230,1.19,0.958
224468,8.41e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
