run,PSSA,PSSA_sig,PSSA_n,PSSB,PSSB_sig,PSSB_n,PSSC,PSSC_sig,PSSC_n,PSSD,PSSD_sig,PSSD_n,LIQA,LIQA_sig,LIQA_n,LIQB,LIQB_sig,LIQB_n,LIQC,LIQC_sig,LIQC_n,LIQD,LIQD_sig,LIQD_n
224549,-1680.40,4.5,93,-1689.51,2.9,59,-1682.31,2.0,93,-1682.91,1.8,84,-1709.11,3.6,224,-1711.06,3.5,181,-1696.54,3.6,746,-1702.27,4.1,316
224552,-1678.99,3.4,84,-1690.47,3.1,60,-1682.17,2.2,85,-1680.71,2.3,90,-1709.26,3.7,220,-1711.25,3.5,184,-1696.65,3.9,396,-1701.93,3.8,309
224555,-1680.00,3.1,104,-1688.89,3.3,54,-1682.47,2.4,79,-1683.14,1.8,80,-1708.66,3.8,231,-1711.37,3.6,203,-1695.89,3.8,792,-1701.79,3.9,337
224558,-1680.14,4.5,88,-1689.73,1.9,57,-1682.62,2.3,87,-1681.90,1.9,82,-1708.86,4.2,223,-1711.01,3.3,190,-1696.31,4.0,763,-1701.41,4.2,322
224562,-1680.72,4.9,94,-1689.37,2.9,58,-1682.25,1.7,86,-1683.44,2.2,82,-1708.27,3.7,241,-1710.56,3.9,198,-1695.69,4.1,810,-1701.74,5.0,338
224565,-1680.09,5.0,94,-1690.48,2.9,47,-1681.54,2.3,77,-1681.60,2.1,78,-1707.99,3.9,251,-1710.28,3.8,210,-1695.42,4.0,860,-1700.87,4.5,364
224569,-1680.75,4.7,97,-1689.48,1.7,41,-1682.78,2.5,67,-1681.28,2.7,76,-1708.15,4.3,256,-1710.02,5.3,207,-1695.69,4.5,854,-1701.44,4.9,364
224572,-1679.49,4.0,85,-1690.64,1.9,52,-1682.14,2.6,76,-1682.68,1.8,69,-1707.91,4.0,250,-1710.19,4.4,202,-1695.53,4.4,853,-1701.43,4.1,358
224575,-1679.21,4.9,87,-1689.08,2.6,49,-1682.51,2.5,75,-1681.75,2.6,80,-1708.56,4.3,254,-1710.12,4.5,206,-1695.24,4.4,295,-1701.15,4.8,294
224578,-1680.35,4.0,85,-1689.83,3.4,47,-1682.03,1.8,72,-1681.88,2.6,71,-1707.59,4.8,257,-1710.07,4.8,224,-1695.03,4.4,906,-1700.88,4.7,383
224581,-1680.63,5.2,81,-1688.87,2.0,48,-1681.98,2.1,76,-1680.45,2.4,74,-1707.89,4.0,267,-1709.61,3.7,216,-1694.55,5.1,652,-1700.72,4.8,382
224584,-1680.55,4.5,87,-1688.87,2.8,52,-1682.22,2.1,75,-1683.25,2.2,73,-1708.31,4.7,258,-1710.40,3.9,217,-1694.99,4.9,897,-1700.96,4.4,373
224588,,,,,,,,,,,,,,,,,,,,,,,,
