channel_id,pad_cx,pad_cy,n_tag,n_hit,eff
862,337.4197,283.4256,0,0,
861,311.1582,261.3851,40,21,0.525
860,284.8972,239.3447,25,9,0.36
859,258.6369,217.3032,16,3,0.1875
858,232.3774,195.2616,23,3,0.13043478260869565
857,206.1191,173.2192,0,0,
856,179.8631,151.175,0,0,
855,436.2555,361.1918,0,0,
854,409.991,339.1532,0,0,
853,153.6099,129.1292,0,0,
852,383.7267,317.1142,0,0,
851,357.4623,295.0753,0,0,
850,127.3615,107.0799,0,0,
849,331.1979,273.0361,173,122,0.7052023121387283
848,304.9334,250.997,26,13,0.5
847,278.6691,228.958,25,13,0.52
846,456.2853,372.8208,0,0,
845,101.1221,85.0246,0,0,
844,430.0184,350.7817,0,0,
843,252.4046,206.9185,17,3,0.17647058823529413
842,403.7506,328.7428,0,0,
841,377.4829,306.703,0,0,
840,226.1406,184.8789,53,6,0.11320754716981132
839,351.2142,284.6636,0,0,
838,199.8759,162.839,0,0,
837,324.945,262.6241,285,195,0.6842105263157895
836,173.6115,140.799,0,0,
835,450.0279,362.3938,0,0,
834,298.6752,240.584,30,16,0.5333333333333333
833,423.7565,340.3529,0,0,
832,272.404,218.5438,24,5,0.20833333333333334
