channel_id,pad_cx,pad_cy,n_tag,n_hit,eff
602,337.94,181.34,94,34,0.3617021276595745
601,469.4907,250.391,6415,5893,0.9186282151208106
600,206.3922,112.2805,6,2,0.3333333333333333
599,449.6822,238.9607,8288,7771,0.9376206563706564
598,318.1322,169.9123,48,7,0.14583333333333334
597,186.5871,100.8585,8,3,0.375
596,429.8721,227.5304,9274,8734,0.941772697864999
595,298.3225,158.485,32,4,0.125
594,166.7797,89.4384,0,0,
593,410.0603,216.0998,8939,8336,0.9325427900212552
592,521.7991,273.7103,0,0,
591,278.5107,147.0578,21,4,0.19047619047619047
590,390.247,204.669,8689,7549,0.8687996317182645
589,501.9848,262.2779,59,40,0.6779661016949152
588,370.4316,193.2386,6252,5184,0.8291746641074856
587,482.1687,250.8449,3485,3089,0.8863701578192252
586,258.6967,135.6311,17,4,0.23529411764705882
585,146.9687,78.0211,0,0,
584,462.351,239.4116,6242,5815,0.931592438321051
583,350.6137,181.8076,76,31,0.40789473684210525
582,238.8788,124.2051,11,3,0.2727272727272727
581,442.5308,227.9782,7526,4074,0.54132341217114
580,127.1522,66.6083,0,0,
579,330.7931,170.3765,44,13,0.29545454545454547
578,422.7087,216.5437,8404,7969,0.9482389338410281
577,219.057,112.7797,3,0,
576,514.6246,262.7091,0,0,
703,398.9561,257.6972,6708,6247,0.9312760882528325
702,187.4608,121.753,3,1,
701,313.0162,201.1795,51,8,0.1568627450980392
700,418.7692,269.1467,4701,4543,0.9663901297596256
699,207.2679,133.2115,5,1,0.2
698,438.5809,280.594,2074,2002,0.9652844744455159
697,332.8259,212.6284,62,22,0.3548387096774194
696,227.073,144.6646,9,1,0.1111111111111111
695,458.3912,292.0399,1765,1705,0.9660056657223796
694,352.6339,224.0761,4533,3545,0.7820427972645048
693,246.8768,156.1138,17,0,0.0
692,478.2004,303.4844,53,43,0.8113207547169812
691,372.4408,235.5208,7270,6142,0.8448418156808803
690,498.0082,314.9279,11,7,0.6363636363636364
689,121.3291,76.7049,0,0,
688,392.2463,246.9646,8232,7369,0.8951652089407192
687,266.6793,167.5601,40,1,0.025
686,141.1204,88.1594,0,0,
685,412.0511,258.4066,7788,7486,0.9612223934257833
684,286.4811,179.004,31,5,0.16129032258064516
683,431.8549,269.8476,4913,4777,0.972318339100346
682,160.9131,99.6075,6,0,0.0
681,306.2821,190.4455,44,5,0.11363636363636363
680,451.6582,281.287,2313,2221,0.9602248162559447
679,471.4606,292.7258,794,743,0.9357682619647355
678,326.0822,201.8859,67,24,0.3582089552238806
677,491.2624,304.1637,26,14,0.5384615384615384
676,180.7064,111.0511,7,3,0.42857142857142855
675,345.8821,213.3244,234,147,0.6282051282051282
674,200.5005,122.4917,4,1,
673,365.6814,224.762,7542,6389,0.847122779103686
672,220.2949,133.9297,10,4,0.4
671,385.4802,236.1986,8522,7430,0.8718610654775875
670,405.2788,247.6348,9077,8446,0.9304836399691528
669,240.0895,145.3662,8,0,0.0
668,425.0767,259.07,7927,7622,0.9615239056389555
667,259.884,156.8017,30,2,0.06666666666666667
666,444.8746,270.5046,4924,4756,0.9658813972380179
665,279.6786,168.2358,36,8,0.2222222222222222
664,464.6725,281.9385,2562,2445,0.9543325526932084
663,484.4697,293.3725,65,50,0.7692307692307693
662,299.4733,179.6695,47,0,0.0
661,504.2669,304.8057,7,0,0.0
660,104.5448,60.2851,0,0,
659,319.2679,191.1022,63,11,0.1746031746031746
658,114.4485,66.0033,0,0,
