run,subrun,det,resist_v,drift_v,n_samples,t_start,t_end,i_median_ua,i_mean_ua,di_ua,di_err_ua,frac_elevated,n_pulses,pulse_rate_hz,q_per_pulse_nc,q_err_nc,q_per_channel_pc,leak_ok,notes
run_67,m113On_dr500_r520_061,D,519.5,500.0,611,1784791251.0,1784791873.0,0.9589999914169312,1.021181667982654,0.06218167656572282,0.006047017743231303,0.34206219312602293,126,0.20257234726688103,306.9603398720603,29.851151081665634,299.7659569063089,False,
run_67,m113On_dr500_r525_058,A,524.75,499.75,601,1784789367.0,1784789979.0,1.9420000314712524,1.9555440966579165,0.013544065186664067,0.0014899412413611373,0.19633943427620631,141,0.23039215686274508,58.78700634211638,6.466979005056851,57.40918588097303,False,
run_67,m113On_dr500_r525_058,B,524.75,499.75,601,1784789367.0,1784789979.0,5.185999870300293,5.192425957138646,0.006426086838352774,0.0016443492649128237,0.3011647254575707,141,0.23039215686274508,27.891951383488635,7.137175532813107,27.23823377293812,False,
run_67,m113On_dr500_r525_058,C,524.5,499.75,601,1784789367.0,1784789979.0,0.007000000216066837,0.029028286147063067,0.02202828593099623,0.001954158684662431,0.2079866888519135,141,0.23039215686274508,95.61213467921768,8.48188024832204,93.37122527267351,True,
run_67,m113On_dr500_r525_058,D,524.5,500.0,601,1784789367.0,1784789979.0,1.1009999513626099,1.1732063207174102,0.07220636935480029,0.006796871629473829,0.37437603993344426,141,0.23039215686274508,313.40636911445233,29.501315157716196,306.06090733833236,False,
run_67,m113On_dr500_r530_055,A,529.75,499.75,602,1784787480.0,1784788093.0,1.7350000143051147,1.757511627238454,0.022511612933339364,0.0017881763799010466,0.30398671096345514,168,0.2740619902120718,82.14058766748232,6.524715005234175,80.2154176440257,False,
run_67,m113On_dr500_r530_055,B,529.75,499.75,602,1784787480.0,1784788093.0,5.418500185012817,5.418367103088734,-0.00013308192408345576,0.003776841763700843,0.3903654485049834,168,0.2740619902120718,-0.4855905920426093,13.780976197313194,-0.4742095625416106,False,
run_67,m113On_dr500_r530_055,C,529.5,499.75,602,1784787480.0,1784788093.0,0.00800000037997961,0.04343189401366435,0.03543189363368474,0.0028234850849173957,0.26744186046511625,168,0.2740619902120718,129.2842309371949,10.302359268180735,126.2541317746044,True,
run_67,m113On_dr500_r530_055,D,529.5,500.0,602,1784787480.0,1784788093.0,1.284500002861023,1.3896146206760724,0.1051146178150495,0.008377602594743103,0.4003322259136213,168,0.2740619902120718,383.54321857515083,30.56827613439001,374.5539243897957,False,
run_67,m113On_dr500_r535_052,A,534.75,499.75,608,1784785594.0,1784786213.0,1.3969999551773071,1.4256134866491745,0.028613531471867404,0.002193180296705592,0.27631578947368424,166,0.2681744749596123,106.6974456691923,8.178184359402175,104.19672428632062,False,
run_67,m113On_dr500_r535_052,B,534.75,499.75,608,1784785594.0,1784786213.0,5.421000003814697,5.429358548239658,0.008358544424960535,0.0014820714894397563,0.34539473684210525,166,0.2681744749596123,31.168307223196212,5.526519590139814,30.43780002265255,False,
run_67,m113On_dr500_r535_052,C,534.5,499.75,608,1784785594.0,1784786213.0,0.00800000037997961,0.05198848683779177,0.043988486457812156,0.003097356324275905,0.2680921052631579,166,0.2681744749596123,164.02935612882968,11.549780510402321,160.18491809456023,True,
run_67,m113On_dr500_r535_052,D,534.5,500.0,608,1784785594.0,1784786213.0,1.5410000085830688,1.6572713793108338,0.11627137072776494,0.008354308915542355,0.4095394736842105,166,0.2681744749596123,433.56613542461747,31.152513365787453,423.404429125603,False,
run_67,m113On_dr500_r540_049,A,539.75,499.75,601,1784783707.0,1784784319.0,1.437999963760376,1.4695640609982406,0.031564097237864575,0.0026101571787237104,0.2778702163061564,165,0.2696078431372549,117.07410611862495,9.681310262902489,114.33018175646968,False,
run_67,m113On_dr500_r540_049,B,539.75,499.75,601,1784783707.0,1784784319.0,5.4720001220703125,5.471570713151116,-0.00042940891919673874,0.0017568949556231227,0.34608985024958405,165,0.2696078431372549,-1.5927167184751765,6.516483108129401,-1.5553874203859146,False,
run_67,m113On_dr500_r540_049,C,539.5,499.75,601,1784783707.0,1784784319.0,0.009999999776482582,0.06228286167064344,0.052282861894160856,0.004023446047053702,0.281198003327787,165,0.2696078431372549,193.92188775288753,14.923327156344639,189.37684350867923,True,
run_67,m113On_dr500_r540_049,D,539.5,500.0,601,1784783707.0,1784784319.0,1.9040000438690186,2.0214292852335087,0.11742924136449018,0.008849521018396622,0.41098169717138106,165,0.2696078431372549,435.55573160647265,32.823677959143836,425.34739414694593,False,
run_67,m113On_dr500_r545_046,A,544.75,499.75,604,1784781821.0,1784782437.0,1.4329999685287476,1.4776655621086525,0.04466559357990496,0.0035606084553845715,0.31125827814569534,168,0.2727272727272727,163.77384312631818,13.055564336410095,159.9353936780451,False,
