    run  official  parts          bunches   reach      ours  parts   reach  merged
 224339   COVERED      1              1-4       4         -      0       -     yes
 224341   COVERED      1              1-4       4         -      0       -     yes
 224342   COVERED      1              1-3       3         -      0       -     yes
 224343   COVERED      1              1-8       8         -      0       -     yes
 224344   COVERED      1              1-3       3         -      0       -     yes
 224345   COVERED     38           1-3033    3033         -      0       -     yes
 224346   COVERED     39           1-3085    3085         -      0       -     yes
 224347   COVERED     42           1-3356    3356         -      0       -     yes
 224348   COVERED     48           1-3788    3788         -      0       -     yes
 224349   COVERED     30           1-2381    2381         -      0       -     yes
 224350   COVERED      1             1-57      57         -      0       -     yes
 224351   COVERED     31           1-2427    2427         -      0       -     yes
 224352   COVERED      2             1-99      99         -      0       -     yes
 224353   COVERED      6            1-471     471         -      0       -     yes
 224354   COVERED      6           1-1194    1194         -      0       -     yes
 224355   COVERED     47           1-3708    3708         -      0       -     yes
 224356   COVERED     43           1-3412    3412         -      0       -     yes
 224357   COVERED     42           1-3286    3286         -      0       -     yes
 224358   COVERED     41           1-3269    3269         -      0       -     yes
 224359   COVERED     18           1-3426    3426         -      0       -     yes
 224360   COVERED      7            1-549     549         -      0       -     yes
 224361   COVERED     41           1-3228    3228         -      0       -     yes
 224362   COVERED     43           1-3379    3379         -      0       -     yes
 224363   COVERED     46           1-3672    3672         -      0       -     yes
 224364   COVERED      9            1-674     674         -      0       -     yes
 224365   COVERED     43           1-3422    3422         -      0       -     yes
 224366   COVERED     43           1-3419    3419         -      0       -     yes
 224367   COVERED     43           1-3374    3374         -      0       -     yes
 224368   COVERED     48           1-3764    3764         -      0       -     yes
 224369   COVERED     42           1-3328    3328         -      0       -     yes
 224370   COVERED     40           1-3166    3166         -      0       -     yes
 224371   COVERED     51           1-4028    4028         -      0       -     yes
 224372   COVERED     51           1-4004    4004         -      0       -     yes
 224373   COVERED     40           1-3133    3133         -      0       -     yes
 224374   COVERED     41           1-3221    3221         -      0       -     yes
 224375   COVERED     17           1-3319    3319         -      0       -     yes
 224376   COVERED     16           1-3122    3122         -      0       -     yes
 224377   COVERED     11            1-880     880         -      0       -     yes
 224379   COVERED      1             1-44      44         -      0       -     yes
 224380   COVERED      1              1-7       7         -      0       -     yes
 224381   COVERED     11            1-802     802         -      0       -     yes
 224382   COVERED      2             1-95      95         -      0       -     yes
 224383   COVERED      1              1-4       4         -      0       -     yes
 224384   COVERED      1              1-4       4         -      0       -     yes
 224385   COVERED      1              1-4       4         -      0       -     yes
 224386   COVERED      1              1-4       4         -      0       -     yes
 224387   COVERED      1              1-4       4         -      0       -     yes
 224388   COVERED      1              1-4       4         -      0       -     yes
 224389   COVERED      1              1-4       4         -      0       -     yes
 224390   COVERED      1              1-6       6         -      0       -     yes
 224391   COVERED      1              1-6       6         -      0       -     yes
 224392   COVERED      1              1-4       4         -      0       -     yes
 224393   COVERED      1              1-5       5         -      0       -     yes
 224394   COVERED      1              1-5       5         -      0       -     yes
 224398   COVERED      1              1-4       4         -      0       -     yes
 224399   COVERED      1             1-37      37         -      0       -     yes
 224400   COVERED      2             1-89      89         -      0       -     yes
 224401   COVERED     32           1-2558    2558         -      0       -     yes
 224402   COVERED     45           1-3591    3591         -      0       -     yes
 224403   COVERED     40           1-3170    3170         -      0       -     yes
 224404   COVERED     48           1-3792    3792         -      0       -     yes
 224405   COVERED     17           1-3234    3234         -      0       -   EMPTY
 224406   COVERED     39           1-3093    3093         -      0       -     yes
 224407   COVERED     14           1-1102    1102         -      0       -     yes
 224408   COVERED      1             1-11      11         -      0       -     yes
 224409   COVERED      1              1-5       5         -      0       -     yes
 224410   COVERED      1              1-4       4         -      0       -     yes
 224411   COVERED      1              1-5       5         -      0       -     yes
 224412   COVERED      1              1-5       5         -      0       -     yes
 224413   COVERED      1              1-5       5         -      0       -     yes
 224414   COVERED      1              1-5       5         -      0       -     yes
 224415   COVERED      1              1-5       5         -      0       -     yes
 224416   COVERED      1              1-5       5         -      0       -     yes
 224417   COVERED      1              1-5       5         -      0       -     yes
 224418   COVERED      1              1-5       5         -      0       -     yes
 224419   COVERED      1              1-5       5         -      0       -     yes
 224420   COVERED      1              1-4       4         -      0       -     yes
 224421   COVERED      1              1-4       4         -      0       -     yes
 224422   COVERED      1              1-5       5         -      0       -     yes
 224423   COVERED      1              1-4       4         -      0       -     yes
 224424   COVERED      1              1-4       4         -      0       -     yes
 224425   COVERED      1              1-4       4         -      0       -     yes
 224426   COVERED      1              1-4       4         -      0       -     yes
 224427   COVERED      1              1-6       6         -      0       -     yes
 224428   COVERED      1              1-5       5         -      0       -     yes
 224429   COVERED      1              1-9       9         -      0       -     yes
 224430   COVERED      1              1-6       6         -      0       -     yes
 224431   COVERED      1              1-5       5         -      0       -     yes
 224432   COVERED      1              1-5       5         -      0       -     yes
 224433   COVERED      1              1-4       4         -      0       -     yes
 224434   COVERED      1              1-5       5         -      0       -     yes
 224435   COVERED      1              1-4       4         -      0       -     yes
 224436   COVERED      1              1-4       4         -      0       -     yes
 224437   COVERED      1              1-4       4         -      0       -     yes
 224438   COVERED      1              1-3       3         -      0       -     yes
 224439   COVERED      1              1-3       3         -      0       -     yes
 224440   COVERED      2            1-101     101         -      0       -     yes
 224441   COVERED      1             1-25      25         -      0       -     yes
 224442   COVERED      1              1-4       4         -      0       -     yes
 224443   COVERED      1              1-5       5         -      0       -     yes
 224444   COVERED      1              1-3       3         -      0       -     yes
 224445   COVERED      1              1-4       4         -      0       -     yes
 224446   COVERED      1              1-4       4         -      0       -     yes
 224447   COVERED      1              1-4       4         -      0       -     yes
 224448   COVERED      1              1-4       4         -      0       -     yes
 224449   COVERED      1              1-4       4         -      0       -     yes
 224450   COVERED      5            1-294     294         -      0       -     yes
 224451   COVERED     51           1-4007    4007         -      0       -      no
 224452   COVERED     53           1-4144    4144         -      0       -      no
 224453   COVERED     54           1-4223    4223         -      0       -      no
 224454   COVERED     39           1-2994    2994         -      0       -      no
 224455   COVERED      9            1-709     709         -      0       -     yes
 224456   COVERED      1             1-55      55         -      0       -     yes
 224457   COVERED     36           1-2867    2867         -      0       -     yes
 224458   COVERED     39           1-3054    3054         -      0       -     yes
 224459   COVERED     42           1-3317    3317         -      0       -     yes
 224460   COVERED     51           1-4005    4005         -      0       -     yes
 224461   COVERED     56           1-4460    4460         -      0       -      no
 224462   COVERED     35           1-2797    2797         -      0       -     yes
 224463   COVERED      9            1-717     717         -      0       -     yes
 224464   COVERED     34           1-2716    2716         -      0       -     yes
 224466   COVERED     11           1-2101    2101         -      0       -     yes
 224467   COVERED      9            1-675     675         -      0       -     yes
 224468   COVERED     16           1-1231    1231         -      0       -     yes
 224469   COVERED      1             1-48      48         -      0       -     yes
 224470   COVERED     44           1-3518    3518         -      0       -     yes
 224471   COVERED     10           1-1957    1957         -      0       -     yes
 224472   COVERED     51           1-4023    4023         -      0       -     yes
 224473   COVERED     45           1-3560    3560         -      0       -     yes
 224474   COVERED     22           1-1735    1735         -      0       -     yes
 224476   COVERED     19           1-1507    1507         -      0       -     yes
 224477   COVERED     19           1-1502    1502         -      0       -     yes
 224478   COVERED     19           1-1501    1501         -      0       -     yes
 224479   COVERED     19           1-1503    1503         -      0       -     yes
 224480   COVERED      1             1-28      28         -      0       -     yes
 224481   COVERED     42           1-3308    3308         -      0       -     yes
 224482   COVERED      1             1-54      54         -      0       -     yes
 224483   COVERED      1             1-42      42         -      0       -     yes
 224484   COVERED      1             1-15      15         -      0       -     yes
 224485   COVERED      1             1-21      21         -      0       -     yes
 224486   COVERED      1             1-21      21         -      0       -     yes
 224487   COVERED      1             1-21      21         -      0       -     yes
 224488   COVERED      3            1-125     125         -      0       -     yes
 224489   COVERED     22           1-1750    1750         -      0       -     yes
 224490   COVERED     30           1-2328    2328         -      0       -     yes
 224491   COVERED     30           1-2390    2390         -      0       -     yes
 224492   COVERED     16           1-3014    3014         -      0       -     yes
 224493   COVERED     16           1-3142    3142         -      0       -     yes
 224494   COVERED     32           1-2540    2540         -      0       -     yes
 224495   COVERED      1              1-5       5         -      0       -     yes
 224496   COVERED      1              1-2       2         -      0       -     yes
 224498   COVERED     42           1-2287    3281         -      0       -     yes
 224499   COVERED     39           1-3120    3120         -      0       -      no
 224500   COVERED     43           1-3420    3420         -      0       -     yes
 224501   COVERED     41           1-3207    3207         -      0       -     yes
 224502   COVERED     43           1-3377    3377         -      0       -     yes
 224503   COVERED     42           1-3349    3349         -      0       -     yes
 224504   COVERED     42           1-3294    3294         -      0       -     yes
 224505   COVERED     40           1-3175    3175         -      0       -     yes
 224506   COVERED     41           1-3219    3219         -      0       -     yes
 224507   COVERED     17           1-3241    3241         -      0       -     yes
 224508   COVERED     48           1-3830    3830         -      0       -     yes
 224509   COVERED     45           1-3565    3565         -      0       -     yes
 224510   COVERED     42           1-3338    3338         -      0       -     yes
 224511   COVERED     33           1-2584    2584         -      0       -     yes
 224512   COVERED      6            1-452     452         -      0       -     yes
 224513   COVERED     27           1-2138    2138         -      0       -     yes
 224514   COVERED      1              1-3       3         -      0       -     yes
 224515   COVERED      1              1-4       4         -      0       -     yes
 224516   COVERED     44           1-3473    3473         -      0       -     yes
 224517   COVERED     43           1-3373    3373         -      0       -     yes
 224518   COVERED     46           1-3652    3652         -      0       -     yes
 224519   COVERED     44           1-3488    3488         -      0       -     yes
 224520   COVERED     40           1-3154    3154         -      0       -     yes
 224521   COVERED     40           1-3177    3177         -      0       -     yes
 224522   COVERED      3            1-437     437         -      0       -     yes
 224523   COVERED      4            1-293     293         -      0       -     yes
 224524   COVERED     37           1-2946    2946         -      0       -     yes
 224525   COVERED     46           1-3631    3631         -      0       -     yes
 224526     SHORT      6           1-3324    3240         -      0       -     yes
 224527   COVERED     42           1-3329    3329         -      0       -     yes
 224528   COVERED     44           1-3493    3493         -      0       -     yes
