eid,theta_ref_x,theta_ref_y,x_slope,x_intercept,x_tan_fit,x_theta_fit,x_rms,x_span_t,x_n,x_n_core,x_amp_max,y_slope,y_intercept,y_tan_fit,y_theta_fit,y_rms,y_span_t,y_n,y_n_core,y_amp_max,score,theta_sel
21659,,,42.422728140059334,-2906.6507125482362,0.6933020575380944,34.733649312283,18.330851409556313,539.3997802734375,24,11,3228.5458984375,91.61773790195856,-31372.601696742204,0.32102696900633254,17.798031056504712,47.93357652858863,683.1558837890625,13,8,4118.1376953125,0.08406625370045433,34.733649312283
37309,,,-25.843120780231985,6091.518652428631,-1.138088737656642,-48.69532300800881,13.002057235562472,698.6048583984375,35,24,1553.0113525390625,87.64807676657628,-27886.600821477645,0.33556657248979405,18.55003122657621,66.08938314615153,654.4169921875,14,11,2498.12744140625,0.0841063169046829,-48.69532300800881
37922,,,55.66852487552637,-6502.223800791056,0.5283374181666647,27.849169818944677,25.67522009689631,608.5755615234375,18,9,2059.2685546875,-85.87812801618765,26918.267331764324,-0.34248260162748734,-18.905439836880564,33.159799773654704,605.820068359375,13,10,2253.03759765625,0.08455673898395909,27.849169818944677
2231,,,50.848991177382345,-17518.517433757115,0.5784139276880034,30.045686305322445,17.862776953668618,663.5090942382812,20,7,1930.59912109375,-62.60440313994008,7472.138519742607,-0.4698034520054128,-25.16429999950486,40.6845665006239,475.32159423828125,19,6,2521.16845703125,0.0847185603943394,30.045686305322445
15241,,,-56.940120536301066,16420.504057231774,-0.5165385044650802,-27.318095043221106,21.006068808266427,505.8814697265625,17,10,2099.16943359375,68.1356020033248,-22904.24396531431,0.43166514775120285,23.348174266096038,26.88930033686599,472.7425231933594,14,9,2766.861083984375,0.08496338552828776,-27.318095043221106
10478,,,48.72792801186829,-13208.793669089839,0.6035915317129584,31.114825349145015,23.363863439494757,630.2205810546875,19,12,1075.9609375,-96.41752911429553,27710.74355519735,-0.3050458249248119,-16.964107973597407,37.27614084775156,563.794921875,11,9,1177.663818359375,0.0851307619585748,31.114825349145015
2425,,,-52.873004886719706,10220.18562941775,-0.5562718587471431,-29.085956195341424,30.149938393739543,676.58837890625,20,13,2137.44384765625,-61.223352528342474,18257.6590671249,-0.48040108049075875,-25.659679933081183,34.40997477500932,667.8204345703125,19,9,2777.445068359375,0.08532460930365977,-29.085956195341424
32935,,,53.02828500055629,-7362.6935822891155,0.554642955275167,29.01463258470048,26.05654789096805,637.1010131835938,19,12,619.2405395507812,83.67049885992967,-9313.167776312695,0.3515189356659595,19.36754051927192,36.99961178107006,626.555419921875,13,10,972.925537109375,0.08542482155449792,29.01463258470048
31868,,,62.45543124474158,-6489.668508248573,0.47092405127470266,25.21687402172692,17.820367498923886,688.5838623046875,16,14,1608.0623779296875,-94.01885038296986,30524.948935680328,-0.312828380543673,-17.37116393633729,61.32222127135981,673.888427734375,13,9,1961.4796142578125,0.08637852827077137,25.21687402172692
21254,,,57.5987893247828,-16438.41641288321,0.5106316478292273,27.0502947901632,24.93245194444339,638.0257568359375,19,9,1601.924560546875,59.64598912611256,-14387.290649408227,0.4931054901897185,26.248159422949033,47.78816815553152,729.1302490234375,21,14,1219.98876953125,0.08684816697355724,27.0502947901632
15977,,,65.52084003616139,-23065.530811398825,0.4488917524508203,24.1749185116663,23.818587753240124,479.739013671875,15,9,1143.4063720703125,84.87061092255222,-13923.801435435962,0.3465482855157217,19.113671051087273,26.627835566186132,590.8414306640625,11,10,1142.883544921875,0.0871828787238321,24.1749185116663
31221,20.123181049959015,15.31508349752339,77.88597482568636,-19091.06258805364,0.3776259432036089,20.687837366824578,19.297981149229713,691.6310424804688,14,12,979.5970458984375,99.07832882991622,-16315.725440008067,0.29685366167582766,16.53371428049321,25.459784367514654,669.1802978515625,12,10,1162.2799072265625,0.08779095979358248,20.123181049959015
22438,,,44.13216104120812,-7760.410855218761,0.666447416395932,33.68136979693825,24.787419397417008,578.15625,24,9,4231.5283203125,-41.06038136191934,14430.830443034918,-0.7163052005444773,-35.61422211968419,40.912069732000575,683.6116333007812,26,12,3179.46533203125,0.08779669268251815,33.68136979693825
8780,,,52.99260186039658,-3224.6751998568734,0.555016430092724,29.030994369348974,23.25266090432057,628.365478515625,21,10,1704.861083984375,-140.92548496120654,21122.1268070767,-0.20870437106516765,-11.788662004435363,47.41666641603562,631.8026123046875,9,7,2032.946044921875,0.08952989954661421,29.030994369348974
35914,,,-47.118688372934535,7459.010682133717,-0.6242059302053232,-31.972654696891247,27.56615235756862,561.400146484375,20,5,5922.87841796875,-42.489826883920735,15590.076734066806,-0.6922072143582335,-34.69126164162081,29.896144295395416,570.7034912109375,22,5,5808.52978515625,0.09029486445950041,-31.972654696891247
29867,,,-39.79743190978055,1967.0952397285694,-0.7390367492193426,-36.46576289043895,17.426521864214024,747.7198486328125,27,19,1742.6942138671875,-107.06065968570505,25606.274606831765,-0.27472056301750464,-15.36136529573825,72.04312749826133,668.9053955078125,13,9,3061.587890625,0.09215772533244797,-36.46576289043895
19143,,,-26.353263811365377,4324.823348006385,-1.116057764852562,-48.13931152234852,17.395312885154173,590.7550048828125,24,14,564.0855712890625,-88.47297733665333,29900.864785087764,-0.3324378312031486,-18.38875878059725,51.12899427779629,531.041259765625,11,9,987.2647094726562,0.09258622195591544,-48.13931152234852
23003,,,-59.516279194987945,13978.730166712478,-0.4941801655564384,-26.297669104975853,22.243249690366756,655.6307373046875,18,10,1845.7076416015625,104.3103099073102,-26819.658751254643,0.2819641196734776,15.746547535376598,54.631642479177266,622.2275390625,12,9,2626.004638671875,0.09282654192688945,-26.297669104975853
32596,20.5508549669137,12.503229527904212,75.38416410840159,-17571.184160807,0.39015839803686836,21.31366058366257,21.03104937835691,771.1263427734375,16,10,1029.5059814453125,133.4276143913614,-20865.13983900312,0.22043236581906978,12.431045471151222,55.549488833834154,804.222900390625,11,9,1019.8191528320312,0.09340426919685176,20.5508549669137
