det,band,resist,n_2d,n_clean,n_trig,rate_pct,err_pct,clean_pct
C,1-4 ms,545,0,0,6392,0.0,0.015644555694618274,0.0
C,1-4 ms,550,0,0,5177,0.0,0.019316206297083253,0.0
C,4-8 ms,520,13,13,5882,0.22101326079564773,0.06129804956586177,0.22101326079564773
C,4-8 ms,525,30,29,5977,0.5019240421616196,0.0916383733486977,0.4851932407562322
C,4-8 ms,530,27,25,6546,0.41246562786434465,0.07937904709298246,0.3819126183929117
C,4-8 ms,535,36,33,6570,0.547945205479452,0.091324200913242,0.502283105022831
C,4-8 ms,540,26,21,6481,0.4011726585403487,0.07867643131604357,0.3240240703595124
C,4-8 ms,545,15,13,6557,0.22876315388134819,0.05906639234722307,0.19826140003050174
C,4-8 ms,550,14,14,5305,0.2639019792648445,0.07053077072146921,0.2639019792648445
C,8-20 ms,520,43,42,16900,0.25443786982248523,0.03880141138640237,0.2485207100591716
C,8-20 ms,525,86,86,17047,0.50448759312489,0.05440029621338478,0.50448759312489
C,8-20 ms,530,117,115,18837,0.6211180124223602,0.05742238056161793,0.6105006105006106
C,8-20 ms,535,171,165,18814,0.9088976294248964,0.06950513888924216,0.8770064845327947
C,8-20 ms,540,228,228,18514,1.231500486118613,0.08155811208027168,1.231500486118613
C,8-20 ms,545,226,212,18803,1.201935861298729,0.07995158420663144,1.1274796575014625
C,8-20 ms,550,167,156,15360,1.0872395833333333,0.08413312489140681,1.015625
C,20-81 ms,520,87,87,30280,0.28731836195508587,0.030803761734111014,0.28731836195508587
C,20-81 ms,525,191,191,29914,0.6384970248044394,0.04620002327032578,0.6384970248044394
C,20-81 ms,530,363,358,33588,1.0807431225437656,0.05672430297504362,1.065856853638204
C,20-81 ms,535,665,655,33471,1.9867945385557646,0.07704458760256716,1.9569179289534224
C,20-81 ms,540,958,944,33503,2.8594454227979584,0.0923844881983235,2.817658120168343
C,20-81 ms,545,1406,1379,33769,4.163581983475969,0.11103872344015324,4.083626995173088
C,20-81 ms,550,1527,1489,28105,5.433196940046255,0.13903877375968632,5.297989681551325
D,1-4 ms,520,0,0,5719,0.0,0.017485574401119076,0.0
D,1-4 ms,525,0,0,5820,0.0,0.01718213058419244,0.0
D,1-4 ms,530,0,0,6398,0.0,0.01562988433885589,0.0
D,1-4 ms,535,0,0,6389,0.0,0.015651901706057285,0.0
D,1-4 ms,540,1,1,6317,0.015830299192654742,0.015830299192654742,0.015830299192654742
D,1-4 ms,545,0,0,6392,0.0,0.015644555694618274,0.0
D,1-4 ms,550,0,0,5177,0.0,0.019316206297083253,0.0
D,4-8 ms,520,4,4,5882,0.06800408024481469,0.034002040122407345,0.06800408024481469
D,4-8 ms,525,2,2,5977,0.033461602810774635,0.023660926256869583,0.033461602810774635
D,4-8 ms,530,6,6,6546,0.09165902841429881,0.03741964165571613,0.09165902841429881
D,4-8 ms,535,3,3,6570,0.045662100456621,0.02636302599039387,0.045662100456621
D,4-8 ms,540,0,0,6481,0.0,0.015429717636167259,0.0
D,4-8 ms,545,2,2,6557,0.030501753850846424,0.021567996986016396,0.030501753850846424
D,4-8 ms,550,0,0,5305,0.0,0.01885014137606032,0.0
D,8-20 ms,520,40,39,16900,0.23668639053254437,0.037423404262347686,0.23076923076923078
D,8-20 ms,525,69,65,17047,0.4047633014606676,0.04872777534415484,0.3812987622455564
D,8-20 ms,530,68,66,18837,0.36099166533949145,0.043776669593010145,0.3503742634177417
D,8-20 ms,535,80,78,18814,0.42521526522802167,0.04754051190602295,0.41458488359732115
D,8-20 ms,540,71,69,18514,0.3834935724316733,0.04551231377971459,0.3726909365885276
D,8-20 ms,545,90,89,18803,0.47864702441099827,0.05045382641336563,0.47332872413976496
D,8-20 ms,550,95,90,15360,0.6184895833333334,0.06345569234901668,0.5859375
D,20-81 ms,520,759,728,30280,2.5066050198150593,0.09098399811067312,2.404227212681638
D,20-81 ms,525,781,752,29914,2.610817677341713,0.09342240163456655,2.5138731028949657
D,20-81 ms,530,879,843,33588,2.6170060735977136,0.08826942408225315,2.5098249374776707
D,20-81 ms,535,1088,1059,33471,3.250575124734845,0.0985475337006402,3.1639329568880523
D,20-81 ms,540,1283,1243,33503,3.8295078052711697,0.10691278207069406,3.7101155120436977
D,20-81 ms,545,1277,1237,33769,3.7815748171399806,0.10582231268444808,3.6631229826171934
D,20-81 ms,550,1177,1143,28105,4.187866927592955,0.12206879059532783,4.066892012097491
