eventId,front_x_mm,front_y_mm,back_x_mm,back_y_mm,z_front_mm,z_back_mm
217500,40.4469,85.1404,37.8934,86.1515,0.0,1370.0
1137863,87.9633,33.8648,38.7481,68.0991,0.0,1370.0
1309394,64.5607,89.3835,64.5495,87.9472,0.0,1370.0
1017642,76.8009,21.7580,75.7331,19.1322,0.0,1370.0
464507,74.2457,55.8072,50.2265,27.4156,0.0,1370.0
1353700,66.2309,32.2088,65.1515,29.1791,0.0,1370.0
30059,110.8936,52.6397,72.5975,8.1029,0.0,1370.0
649706,44.5792,16.5168,43.2146,13.1863,0.0,1370.0
882341,66.7581,57.3431,0.8345,74.5635,0.0,1370.0
1590229,83.5783,54.6036,78.7731,52.8363,0.0,1370.0
1564853,93.6234,78.0379,55.1249,86.9330,0.0,1370.0
1013442,57.8418,85.3201,57.0007,84.4045,0.0,1370.0
1302759,51.7780,62.8378,51.4721,61.3749,0.0,1370.0
1074587,85.3900,19.0291,88.5753,11.7450,0.0,1370.0
229379,65.8409,74.6462,64.5148,73.6006,0.0,1370.0
98512,30.5591,51.2468,10.3647,58.8622,0.0,1370.0
596287,78.9475,34.6755,77.7087,31.7843,0.0,1370.0
788540,18.8709,0.0000,65.1160,48.8502,0.0,1370.0
983181,77.6688,51.8818,77.4336,48.8525,0.0,1370.0
1311558,90.9960,59.1135,90.6013,57.7106,0.0,1370.0
682961,84.7068,23.7136,89.1058,36.9772,0.0,1370.0
964042,73.9747,62.7406,73.1345,61.8054,0.0,1370.0
1081411,91.7685,17.5858,90.2116,14.3327,0.0,1370.0
1132836,72.9361,32.5102,59.5529,21.3602,0.0,1370.0
1340286,51.1356,61.4921,50.3613,58.4109,0.0,1370.0
941657,98.5310,51.9025,97.9079,50.8647,0.0,1370.0
320797,53.3462,83.4431,51.9402,82.4933,0.0,1370.0
853158,29.9075,18.5543,28.3208,15.2798,0.0,1370.0
914766,77.1820,44.9090,75.6394,42.8145,0.0,1370.0
672906,75.8731,17.1672,74.3839,13.5872,0.0,1370.0
1015088,66.4087,31.4737,65.5487,28.4825,0.0,1370.0
411498,86.5091,64.1528,83.6741,62.7310,0.0,1370.0
971607,52.8294,49.3548,52.3585,47.0542,0.0,1370.0
942413,68.6971,85.8126,65.9526,84.9625,0.0,1370.0
883779,69.3198,85.3643,68.6075,84.6489,0.0,1370.0
1483508,95.0654,17.7581,94.7329,14.3252,0.0,1370.0
969250,61.1808,85.0003,58.3384,84.9927,0.0,1370.0
1406162,89.5971,91.9045,89.4278,94.2809,0.0,1370.0
1201814,74.3589,70.1571,72.6601,69.6817,0.0,1370.0
781859,51.7175,72.4203,47.4824,73.9802,0.0,1370.0
210733,66.0145,87.8205,66.7026,89.0251,0.0,1370.0
731071,52.4564,23.6840,47.1231,19.3282,0.0,1370.0
447498,40.1999,19.4018,38.2011,16.4983,0.0,1370.0
1392861,25.7509,28.2544,26.8945,26.7879,0.0,1370.0
95193,72.5900,33.7399,72.0954,32.1214,0.0,1370.0
605526,71.4654,56.8344,70.9833,54.9677,0.0,1370.0
1168574,100.9108,22.1360,6.2491,8.2225,0.0,1370.0
856228,81.9772,61.1447,80.6980,59.4690,0.0,1370.0
655779,90.2771,75.4999,89.1177,74.6640,0.0,1370.0
496720,84.8025,32.1237,83.5415,29.8160,0.0,1370.0
146887,89.2830,20.5368,87.2299,15.8405,0.0,1370.0
357208,85.4514,53.2691,84.9400,51.6983,0.0,1370.0
484368,76.9814,94.0372,71.9041,80.8212,0.0,1370.0
59690,74.3259,26.3115,72.7729,23.5378,0.0,1370.0
423100,25.8554,86.1826,76.2644,18.0948,0.0,1370.0
607137,85.4832,50.7492,85.2038,49.1902,0.0,1370.0
1462263,80.3442,22.8026,79.8472,19.1827,0.0,1370.0
1590012,80.6253,63.1006,79.9057,62.2696,0.0,1370.0
353900,65.9598,27.4774,65.8656,24.7298,0.0,1370.0
1290790,92.7705,49.6408,92.4090,47.7304,0.0,1370.0
1534145,88.6681,64.8719,87.7035,62.6727,0.0,1370.0
1178279,73.0065,44.4207,70.9427,36.2814,0.0,1370.0
906974,72.9147,53.0018,73.0153,51.5721,0.0,1370.0
553148,68.6132,55.2034,60.6124,48.5852,0.0,1370.0
636111,76.6321,26.2870,75.9505,23.6662,0.0,1370.0
1148467,70.2638,74.7055,68.5240,74.6842,0.0,1370.0
1037480,78.9118,32.5092,77.0697,29.8211,0.0,1370.0
956970,27.7708,36.2096,8.5224,27.8103,0.0,1370.0
107250,66.6135,84.8009,65.5606,84.0604,0.0,1370.0
769432,32.3440,89.8225,48.8178,68.0116,0.0,1370.0
1434767,73.1132,26.0535,72.2681,23.1398,0.0,1370.0
423678,40.3139,42.1866,23.9085,45.1967,0.0,1370.0
384455,16.6300,47.6543,95.9495,98.8086,0.0,1370.0
1325068,88.1201,28.5520,87.3551,25.2933,0.0,1370.0
122623,43.4622,81.3412,48.6401,82.4170,0.0,1370.0
1176544,84.2255,19.7742,81.1075,5.8743,0.0,1370.0
6278,93.5792,49.1815,94.1578,47.0336,0.0,1370.0
809042,74.5079,18.0213,73.8282,16.1950,0.0,1370.0
509644,51.0650,43.6899,51.2426,41.5839,0.0,1370.0
256460,51.3183,51.4932,50.3106,49.6954,0.0,1370.0
650832,68.4840,27.6581,66.5010,24.1160,0.0,1370.0
214030,84.7370,33.7080,83.3359,31.2951,0.0,1370.0
1239495,67.9949,72.1828,67.1809,70.5436,0.0,1370.0
721414,78.4961,46.1670,77.9288,43.9953,0.0,1370.0
532916,71.3516,22.4193,68.6037,32.4597,0.0,1370.0
